lon,lat,id
-129.247034523854,49.6635291694723,"0"
-129.631272308675,50.3505578991951,"1"
-130.201368082138,50.7906601925388,"2"
-129.782666699246,50.2063372912399,"3"
-129.348181459067,49.8978900685046,"4"
-128.740973112875,49.8813675165095,"5"
-128.33491993499,49.1216790341148,"6"
-129.866973154483,50.1457862092856,"7"
-128.888022134825,50.3386039658973,"8"
-129.470016837339,49.5616177780938,"9"
-128.516574138584,49.3771834513151,"10"
-130.702805747299,51.1330782122232,"11"
-129.179080694777,49.729412356342,"12"
-130.017735553487,49.6333426234405,"13"
-128.814100585643,49.8415523651994,"14"
-130.332342776018,49.7115108448803,"15"
-130.864738781538,51.183552707411,"16"
-129.881335564897,50.3731870895725,"17"
-129.464989106235,49.5655281049998,"18"
-129.498518434467,50.129660477382,"19"
-129.814887008834,49.8210913365514,"20"
-129.78872694245,49.4242155935218,"21"
-129.60025168277,50.3601283869916,"22"
-129.140658387255,49.5972077977067,"23"
-130.17683678599,49.4615486880719,"24"
-129.764815461025,49.6556008131892,"25"
-128.665530655142,49.749993857493,"26"
-129.767224021568,50.2383156196546,"27"
-130.174049570153,49.5670841976841,"28"
-128.671268707746,49.6899838986201,"29"
-128.981638503416,49.7319240192584,"30"
-128.451559473645,49.8458002922115,"31"
-128.909380622331,50.3714109640153,"32"
-129.314738472087,49.7537738363138,"33"
-129.54708993738,49.6139839833982,"34"
-129.880818240201,49.3220487961685,"35"
-128.507208960982,49.2652484164405,"36"
-129.796997527076,50.3500407279224,"37"
-130.054158615502,50.6069013900847,"38"
-127.971094879921,49.2791495126335,"39"
-129.264585767091,49.3646240065238,"40"
-128.437857340178,49.7322287926525,"41"
-129.877950363242,49.6550747440015,"42"
-129.331161966377,49.5293407722774,"43"
-128.552888485625,49.6550356864071,"44"
-130.395528464913,50.9319602747289,"45"
-129.278021408308,50.6345641907207,"46"
-129.069709569279,49.9316160822124,"47"
-128.351059024682,49.7739384192487,"48"
-129.8428857465,50.8860799012257,"49"
